Time_(s), Base_Joint_Velocity_(rad/s), Shoulder_Joint_Velocity_(rad/s), Elbow_Joint_Velocity_(rad/s), Wrist_Pitch_Joint_Velocity_(rad/s), Wrist_Roll_Joint_Velocity_(rad/s)
4.500, -0.01589, -0.16726, 0.15197, 0.03127, -0.23840
4.511, -0.01505, -0.15948, 0.14469, 0.02960, -0.22569
4.522, -0.01424, -0.15170, 0.13741, 0.02797, -0.21332
4.533, -0.01345, -0.14393, 0.13014, 0.02639, -0.20131
4.544, -0.01269, -0.13615, 0.12284, 0.02485, -0.18964
4.556, -0.01194, -0.12837, 0.11559, 0.02336, -0.17832
4.567, -0.01122, -0.12060, 0.10850, 0.02192, -0.16735
4.578, -0.01052, -0.11300, 0.10165, 0.02052, -0.15673
4.589, -0.00984, -0.10565, 0.09502, 0.01917, -0.14645
4.600, -0.00919, -0.09855, 0.08862, 0.01787, -0.13653
4.611, -0.00856, -0.09170, 0.08243, 0.01661, -0.12695
4.622, -0.00795, -0.08509, 0.07647, 0.01539, -0.11772
4.633, -0.00736, -0.07873, 0.07074, 0.01422, -0.10884
4.644, -0.00679, -0.07262, 0.06522, 0.01310, -0.10031
4.656, -0.00625, -0.06676, 0.05994, 0.01203, -0.09212
4.667, -0.00573, -0.06114, 0.05487, 0.01100, -0.08428
4.678, -0.00524, -0.05577, 0.05003, 0.01001, -0.07680
4.689, -0.00476, -0.05064, 0.04541, 0.00908, -0.06966
4.700, -0.00431, -0.04576, 0.04102, 0.00818, -0.06286
4.711, -0.00388, -0.04113, 0.03685, 0.00734, -0.05642
4.722, -0.00347, -0.03675, 0.03290, 0.00654, -0.05032
4.733, -0.00309, -0.03261, 0.02917, 0.00579, -0.04458
4.744, -0.00273, -0.02872, 0.02567, 0.00508, -0.03918
4.756, -0.00239, -0.02508, 0.02240, 0.00442, -0.03413
4.767, -0.00207, -0.02168, 0.01934, 0.00380, -0.02942
4.778, -0.00178, -0.01853, 0.01651, 0.00323, -0.02507
4.789, -0.00150, -0.01563, 0.01391, 0.00271, -0.02106
4.800, -0.00125, -0.01297, 0.01153, 0.00223, -0.01740
4.811, -0.00103, -0.01057, 0.00937, 0.00180, -0.01409
4.822, -0.00082, -0.00840, 0.00743, 0.00141, -0.01113
4.833, -0.00064, -0.00649, 0.00572, 0.00107, -0.00852
4.844, -0.00048, -0.00482, 0.00423, 0.00078, -0.00625
4.856, -0.00035, -0.00340, 0.00297, 0.00053, -0.00434
4.867, -0.00023, -0.00223, 0.00192, 0.00033, -0.00277
4.878, -0.00014, -0.00130, 0.00111, 0.00018, -0.00155
4.889, -0.00007, -0.00062, 0.00051, 0.00007, -0.00067
4.900, -0.00002, -0.00019, 0.00014, 0.00000, -0.00015
4.911, -0.00000, -0.00001, -0.00000, -0.00001, 0.00003
4.922, -0.00000, -0.00001, -0.00000, -0.00001, 0.00002
4.933, -0.00000, -0.00001, -0.00000, -0.00001, 0.00002
4.944, -0.00000, -0.00001, -0.00000, -0.00001, 0.00002
4.956, -0.00000, -0.00001, -0.00000, -0.00001, 0.00002
4.967, -0.00000, -0.00001, -0.00000, -0.00001, 0.00001
4.978, -0.00000, -0.00001, -0.00000, -0.00001, 0.00001
4.989, -0.00000, -0.00001, -0.00000, -0.00001, 0.00001
5.000, -0.00000, -0.00000, -0.00000, -0.00001, 0.00001
5.011, -0.00000, -0.00000, -0.00000, -0.00001, 0.00001
5.022, -0.00000, -0.00000, -0.00000, -0.00001, 0.00001
5.033, -0.00000, -0.00000, -0.00000, -0.00001, 0.00000
5.044, -0.00000, -0.00000, -0.00000, -0.00001, 0.00000
5.056, -0.00000, -0.00000, -0.00000, -0.00001, 0.00000
5.067, -0.00000, -0.00000, -0.00000, -0.00001, 0.00000
5.078, -0.00000, -0.00000, -0.00000, -0.00001, -0.00000
5.089, -0.00000, -0.00000, -0.00000, -0.00001, -0.00000
5.100, -0.00000, -0.00000, -0.00000, -0.00000, -0.00000
5.111, -0.00001, -0.00000, -0.00000, -0.00000, -0.00001
5.122, -0.00001, -0.00000, -0.00000, -0.00000, -0.00001
5.133, -0.00001, -0.00000, -0.00000, -0.00000, -0.00001
5.144, -0.00001, -0.00000, -0.00000, -0.00000, -0.00001
5.156, -0.00001, -0.00000, -0.00000, -0.00000, -0.00001
5.167, -0.00001, -0.00000, -0.00000, -0.00000, -0.00001
5.178, -0.00001, -0.00000, -0.00000, -0.00000, -0.00001
5.189, -0.00001, -0.00000, -0.00000, -0.00000, -0.00001
5.200, -0.00001, -0.00000, -0.00000, -0.00000, -0.00001
5.211, -0.00001, -0.00000, -0.00000, -0.00000, -0.00001
5.222, -0.00001, -0.00000, -0.00000, -0.00000, -0.00001
5.233, -0.00001, -0.00000, -0.00000, -0.00000, -0.00002
5.244, -0.00001, 0.00000, 0.00000, 0.00000, -0.00002
5.256, -0.00001, 0.00000, 0.00000, 0.00000, -0.00002
5.267, -0.00001, 0.00000, 0.00000, 0.00000, -0.00002
5.278, -0.00001, 0.00000, 0.00000, 0.00000, -0.00002
5.289, -0.00001, 0.00000, 0.00000, 0.00000, -0.00002
5.300, -0.00001, 0.00000, 0.00000, 0.00000, -0.00002
5.311, -0.00001, 0.00000, 0.00000, 0.00000, -0.00002
5.322, -0.00001, 0.00000, 0.00000, 0.00000, -0.00002
5.333, -0.00000, 0.00000, 0.00000, 0.00000, -0.00002
5.344, -0.00000, 0.00000, 0.00000, 0.00000, -0.00002
5.356, -0.00000, 0.00000, 0.00000, 0.00000, -0.00002
5.367, -0.00000, 0.00000, 0.00000, 0.00000, -0.00002
5.378, -0.00000, 0.00000, 0.00000, 0.00000, -0.00002
5.389, -0.00000, 0.00000, 0.00000, 0.00000, -0.00002
5.400, -0.00000, 0.00000, 0.00000, 0.00000, -0.00002
5.411, -0.00000, 0.00000, 0.00000, 0.00000, -0.00002
5.422, -0.00000, 0.00000, 0.00000, 0.00000, -0.00002
5.433, -0.00000, 0.00000, 0.00000, 0.00000, -0.00002
5.444, -0.00000, 0.00000, 0.00000, 0.00000, -0.00002
5.456, -0.00000, 0.00000, 0.00000, 0.00000, -0.00002
5.467, -0.00000, 0.00000, 0.00000, 0.00000, -0.00002
5.478, -0.00000, 0.00000, 0.00000, 0.00000, -0.00002
5.489, -0.00000, 0.00000, 0.00000, 0.00000, -0.00002
5.500, -0.00000, 0.00000, 0.00000, 0.00000, -0.00001
5.511, -0.00000, 0.00000, 0.00000, 0.00000, -0.00001
5.522, -0.00000, 0.00000, 0.00000, 0.00000, -0.00001
5.533, -0.00000, 0.00000, 0.00000, 0.00000, -0.00001
5.544, -0.00000, 0.00000, 0.00000, 0.00000, -0.00001
5.556, -0.00000, 0.00000, 0.00000, 0.00000, -0.00001
5.567, 0.00000, 0.00000, 0.00000, 0.00000, -0.00001
5.578, 0.00000, 0.00000, 0.00000, 0.00000, -0.00001
5.589, 0.00000, 0.00000, 0.00000, 0.00000, -0.00001
5.600, 0.00000, 0.00000, 0.00000, 0.00000, -0.00001
5.611, 0.00000, 0.00000, 0.00000, 0.00000, -0.00000
5.622, 0.00000, 0.00000, 0.00000, 0.00000, -0.00000
5.633, 0.00000, 0.00000, 0.00000, 0.00000, -0.00000
5.644, 0.00000, 0.00000, 0.00000, 0.00000, -0.00000
5.656, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
5.667, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
5.678, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
5.689, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
5.700, 0.00001, 0.00000, 0.00000, 0.00000, 0.00001
5.711, 0.00001, 0.00000, 0.00000, 0.00000, 0.00001
5.722, 0.00001, 0.00000, 0.00000, 0.00000, 0.00001
5.733, 0.00001, 0.00000, 0.00000, 0.00000, 0.00001
5.744, 0.00001, 0.00000, 0.00000, 0.00000, 0.00001
5.756, 0.00001, 0.00000, 0.00000, 0.00000, 0.00002
5.767, 0.00001, 0.00000, 0.00000, 0.00000, 0.00002
5.778, 0.00001, 0.00000, 0.00000, 0.00000, 0.00002
5.789, 0.00001, 0.00000, 0.00000, 0.00000, 0.00002
5.800, 0.00001, 0.00000, 0.00000, 0.00000, 0.00002
5.811, 0.00001, 0.00000, 0.00000, 0.00000, 0.00003
5.822, 0.00001, 0.00000, 0.00000, 0.00000, 0.00003
5.833, 0.00001, 0.00000, 0.00000, 0.00000, 0.00003
5.844, 0.00001, 0.00000, 0.00000, 0.00000, 0.00003
5.856, 0.00001, 0.00000, 0.00000, 0.00000, 0.00003
5.867, 0.00001, 0.00000, 0.00000, 0.00000, 0.00004
5.878, 0.00001, 0.00000, 0.00000, 0.00000, 0.00004
5.889, 0.00002, 0.00000, 0.00000, 0.00000, 0.00004
5.900, 0.00002, 0.00000, 0.00000, 0.00000, 0.00004
5.911, 0.00003, 0.00000, 0.00000, 0.00000, 0.00007
5.922, 0.00029, 0.00000, 0.00000, 0.00000, 0.00037
5.933, 0.00079, 0.00000, 0.00000, 0.00000, 0.00090
5.944, 0.00155, 0.00000, 0.00000, 0.00000, 0.00165
5.956, 0.00255, 0.00000, 0.00000, 0.00000, 0.00262
5.967, 0.00379, 0.00000, 0.00000, 0.00000, 0.00381
5.978, 0.00529, 0.00000, 0.00000, 0.00000, 0.00523
5.989, 0.00703, 0.00000, 0.00000, 0.00000, 0.00686
6.000, 0.00902, 0.00000, 0.00000, 0.00000, 0.00871
6.011, 0.01125, 0.00000, 0.00000, 0.00000, 0.01078
6.022, 0.01373, 0.00000, 0.00000, 0.00000, 0.01308
6.033, 0.01646, 0.00000, 0.00000, 0.00000, 0.01559
6.044, 0.01944, 0.00000, 0.00000, 0.00000, 0.01833
6.056, 0.02266, 0.00000, 0.00000, 0.00000, 0.02128
6.067, 0.02613, 0.00000, 0.00000, 0.00000, 0.02446
6.078, 0.02984, 0.00000, 0.00000, 0.00000, 0.02785
6.089, 0.03381, 0.00000, 0.00000, 0.00000, 0.03147
6.100, 0.03802, 0.00000, 0.00000, 0.00000, 0.03531
6.111, 0.04244, 0.00000, 0.00000, 0.00000, 0.03937
6.122, 0.04689, 0.00000, 0.00000, 0.00000, 0.04365
6.133, 0.05133, 0.00000, 0.00000, 0.00000, 0.04815
6.144, 0.05578, 0.00000, 0.00000, 0.00000, 0.05287
6.156, 0.06022, 0.00000, 0.00000, 0.00000, 0.05781
6.167, 0.06467, 0.00000, 0.00000, 0.00000, 0.06297
6.178, 0.06911, 0.00000, 0.00000, 0.00000, 0.06835
6.189, 0.07356, 0.00000, 0.00000, 0.00000, 0.07395
6.200, 0.07800, 0.00000, 0.00000, 0.00000, 0.07977
6.211, 0.08244, 0.00000, 0.00000, 0.00000, 0.08582
6.222, 0.08689, 0.00000, 0.00000, 0.00000, 0.09208
6.233, 0.09133, 0.00000, 0.00000, 0.00000, 0.09857
6.244, 0.09578, 0.00000, 0.00000, 0.00000, 0.10527
6.256, 0.10022, 0.00000, 0.00000, 0.00000, 0.11220
6.267, 0.10467, 0.00000, 0.00000, 0.00000, 0.11934
6.278, 0.10911, 0.00000, 0.00000, 0.00000, 0.12671
6.289, 0.11356, 0.00000, 0.00000, 0.00000, 0.13430
6.300, 0.11800, 0.00000, 0.00000, 0.00000, 0.14210
6.311, 0.12244, 0.00000, 0.00000, 0.00000, 0.15013
6.322, 0.12689, 0.00000, 0.00000, 0.00000, 0.15838
6.333, 0.13133, 0.00000, 0.00000, 0.00000, 0.16685
6.344, 0.13578, 0.00000, 0.00000, 0.00000, 0.17554
6.356, 0.14022, 0.00000, 0.00000, 0.00000, 0.18445
6.367, 0.14467, 0.00000, 0.00000, 0.00000, 0.19358
6.378, 0.14911, 0.00000, 0.00000, 0.00000, 0.20294
6.389, 0.15356, 0.00000, 0.00000, 0.00000, 0.21251
6.400, 0.15800, 0.00000, 0.00000, 0.00000, 0.22230
6.411, 0.16244, 0.00000, 0.00000, 0.00000, 0.23232
6.422, 0.16689, 0.00000, 0.00000, 0.00000, 0.24255
6.433, 0.17133, 0.00000, 0.00000, 0.00000, 0.25300
6.444, 0.17578, 0.00000, 0.00000, 0.00000, 0.26369
6.456, 0.18022, 0.00000, 0.00000, 0.00000, 0.27457
6.467, 0.18467, 0.00000, 0.00000, 0.00000, 0.28561
6.478, 0.18911, 0.00000, 0.00000, 0.00000, 0.29663
6.489, 0.19356, 0.00000, 0.00000, 0.00000, 0.30764
6.500, 0.19800, 0.00000, 0.00000, 0.00000, 0.31866
6.511, 0.20244, 0.00000, 0.00000, 0.00000, 0.32967
6.522, 0.20689, 0.00000, 0.00000, 0.00000, 0.34069
6.533, 0.21133, 0.00000, 0.00000, 0.00000, 0.35170
6.544, 0.21578, 0.00000, 0.00000, 0.00000, 0.36271
6.556, 0.22022, 0.00000, 0.00000, 0.00000, 0.37373
6.567, 0.22467, 0.00000, 0.00000, 0.00000, 0.38474
6.578, 0.22911, 0.00000, 0.00000, 0.00000, 0.39576
6.589, 0.23356, 0.00000, 0.00000, 0.00000, 0.40677
6.600, 0.23800, 0.00000, 0.00000, 0.00000, 0.41780
6.611, 0.24244, 0.00000, 0.00000, 0.00000, 0.42881
6.622, 0.24689, 0.00000, 0.00000, 0.00000, 0.43972
6.633, 0.25133, 0.00000, 0.00000, 0.00000, 0.45043
6.644, 0.25578, 0.00000, 0.00000, 0.00000, 0.46089
6.656, 0.26022, 0.00000, 0.00000, 0.00000, 0.47113
6.667, 0.26454, 0.00000, 0.00000, 0.00000, 0.48116
6.678, 0.26860, 0.00000, 0.00000, 0.00000, 0.49097
6.689, 0.27242, 0.00000, 0.00000, 0.00000, 0.50055
6.700, 0.27598, 0.00000, 0.00000, 0.00000, 0.50992
6.711, 0.27930, 0.00000, 0.00000, 0.00000, 0.51906
6.722, 0.28238, 0.00000, 0.00000, 0.00000, 0.52798
6.733, 0.28521, 0.00000, 0.00000, 0.00000, 0.53668
6.744, 0.28779, 0.00000, 0.00000, 0.00000, 0.54517
6.756, 0.29012, 0.00000, 0.00000, 0.00000, 0.55343
6.767, 0.29221, 0.00000, 0.00000, 0.00000, 0.56147
6.778, 0.29405, 0.00000, 0.00000, 0.00000, 0.56929
6.789, 0.29564, 0.00000, 0.00000, 0.00000, 0.57689
6.800, 0.29698, 0.00000, 0.00000, 0.00000, 0.58427
6.811, 0.29808, 0.00000, 0.00000, 0.00000, 0.59143
6.822, 0.29893, 0.00000, 0.00000, 0.00000, 0.59837
6.833, 0.29954, 0.00000, 0.00000, 0.00000, 0.60508
6.844, 0.29990, 0.00000, 0.00000, 0.00000, 0.61158
6.856, 0.30000, 0.00000, 0.00000, 0.00000, 0.61786
6.867, 0.30001, 0.00000, 0.00000, 0.00000, 0.62391
6.878, 0.30000, 0.00000, 0.00000, 0.00000, 0.62975
6.889, 0.30000, 0.00000, 0.00000, 0.00000, 0.63536
6.900, 0.30000, 0.00000, 0.00000, 0.00000, 0.64076
6.911, 0.30000, 0.00000, 0.00000, 0.00000, 0.64593
6.922, 0.30000, 0.00000, 0.00000, 0.00000, 0.65088
6.933, 0.30000, 0.00000, 0.00000, 0.00000, 0.65562
6.944, 0.30000, 0.00000, 0.00000, 0.00000, 0.66013
6.956, 0.30000, 0.00000, 0.00000, 0.00000, 0.66442
6.967, 0.30000, 0.00000, 0.00000, 0.00000, 0.66849
6.978, 0.30000, 0.00000, 0.00000, 0.00000, 0.67234
6.989, 0.30000, 0.00000, 0.00000, 0.00000, 0.67597
7.000, 0.30000, 0.00000, 0.00000, 0.00000, 0.67938
7.011, 0.30000, 0.00000, 0.00000, 0.00000, 0.68257
7.022, 0.30000, 0.00000, 0.00000, 0.00000, 0.68554
7.033, 0.30000, 0.00000, 0.00000, 0.00000, 0.68828
7.044, 0.30000, 0.00000, 0.00000, 0.00000, 0.69081
7.056, 0.30000, 0.00000, 0.00000, 0.00000, 0.69312
7.067, 0.30000, 0.00000, 0.00000, 0.00000, 0.69520
7.078, 0.30000, 0.00000, 0.00000, 0.00000, 0.69707
7.089, 0.30000, 0.00000, 0.00000, 0.00000, 0.69871
7.100, 0.30000, 0.00000, 0.00000, 0.00000, 0.70013
7.111, 0.30000, 0.00000, 0.00000, 0.00000, 0.70134
7.122, 0.30000, 0.00000, 0.00000, 0.00000, 0.70232
7.133, 0.30000, 0.00000, 0.00000, 0.00000, 0.70308
7.144, 0.30000, 0.00000, 0.00000, 0.00000, 0.70363
7.156, 0.30000, 0.00000, 0.00000, 0.00000, 0.70394
7.167, 0.30000, 0.00000, 0.00000, 0.00000, 0.70405
7.178, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.189, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.200, 0.30000, 0.00000, 0.00000, 0.00000, 0.70403
7.211, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.222, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.233, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.244, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.256, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.267, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.278, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.289, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.300, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.311, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.322, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.333, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.344, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.356, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.367, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.378, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.389, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.400, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.411, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.422, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.433, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.444, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.456, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.467, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.478, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.489, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.500, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.511, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.522, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.533, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.544, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.556, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.567, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.578, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.589, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.600, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.611, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.622, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.633, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.644, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.656, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.667, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.678, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.689, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.700, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.711, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.722, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.733, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.744, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.756, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.767, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.778, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.789, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.800, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.811, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.822, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.833, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.844, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.856, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.867, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.878, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.889, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.900, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.911, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.922, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.933, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.944, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.956, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.967, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.978, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
7.989, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
8.000, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
8.011, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
8.022, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
8.033, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
8.044, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
8.056, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
8.067, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
8.078, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
8.089, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
8.100, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
8.111, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
8.122, 0.30000, 0.00000, 0.00000, 0.00000, 0.70402
8.133, 0.30000, 0.00000, 0.00000, 0.00000, 0.70405
8.144, 0.30000, 0.00000, 0.00000, 0.00000, 0.70391
8.156, 0.30000, 0.00000, 0.00000, 0.00000, 0.70356
8.167, 0.30000, 0.00000, 0.00000, 0.00000, 0.70299
8.178, 0.30000, 0.00000, 0.00000, 0.00000, 0.70220
8.189, 0.30000, 0.00000, 0.00000, 0.00000, 0.70118
8.200, 0.30000, 0.00000, 0.00000, 0.00000, 0.69995
8.211, 0.30000, 0.00000, 0.00000, 0.00000, 0.69850
8.222, 0.30000, 0.00000, 0.00000, 0.00000, 0.69682
8.233, 0.30000, 0.00000, 0.00000, 0.00000, 0.69493
8.244, 0.30000, 0.00000, 0.00000, 0.00000, 0.69281
8.256, 0.30000, 0.00000, 0.00000, 0.00000, 0.69047
8.267, 0.30000, 0.00000, 0.00000, 0.00000, 0.68791
8.278, 0.30000, 0.00000, 0.00000, 0.00000, 0.68514
8.289, 0.30000, 0.00000, 0.00000, 0.00000, 0.68214
8.300, 0.30000, 0.00000, 0.00000, 0.00000, 0.67892
8.311, 0.30000, 0.00000, 0.00000, 0.00000, 0.67548
8.322, 0.30000, 0.00000, 0.00000, 0.00000, 0.67182
8.333, 0.30000, 0.00000, 0.00000, 0.00000, 0.66794
8.344, 0.30000, 0.00000, 0.00000, 0.00000, 0.66384
8.356, 0.30000, 0.00000, 0.00000, 0.00000, 0.65952
8.367, 0.30000, 0.00000, 0.00000, 0.00000, 0.65497
8.378, 0.30000, 0.00000, 0.00000, 0.00000, 0.65021
8.389, 0.30000, 0.00000, 0.00000, 0.00000, 0.64523
8.400, 0.30000, 0.00000, 0.00000, 0.00000, 0.64002
8.411, 0.30000, 0.00000, 0.00000, 0.00000, 0.63460
8.422, 0.30000, 0.00000, 0.00000, 0.00000, 0.62895
8.433, 0.30002, 0.00000, 0.00000, 0.00000, 0.62309
8.444, 0.29998, 0.00000, 0.00000, 0.00000, 0.61700
8.456, 0.29982, 0.00000, 0.00000, 0.00000, 0.61069
8.467, 0.29939, 0.00000, 0.00000, 0.00000, 0.60417
8.478, 0.29871, 0.00000, 0.00000, 0.00000, 0.59742
8.489, 0.29778, 0.00000, 0.00000, 0.00000, 0.59045
8.500, 0.29661, 0.00000, 0.00000, 0.00000, 0.58326
8.511, 0.29519, 0.00000, 0.00000, 0.00000, 0.57585
8.522, 0.29353, 0.00000, 0.00000, 0.00000, 0.56822
8.533, 0.29162, 0.00000, 0.00000, 0.00000, 0.56037
8.544, 0.28946, 0.00000, 0.00000, 0.00000, 0.55230
8.556, 0.28705, 0.00000, 0.00000, 0.00000, 0.54400
8.567, 0.28440, 0.00000, 0.00000, 0.00000, 0.53549
8.578, 0.28150, 0.00000, 0.00000, 0.00000, 0.52676
8.589, 0.27835, 0.00000, 0.00000, 0.00000, 0.51780
8.600, 0.27496, 0.00000, 0.00000, 0.00000, 0.50863
8.611, 0.27132, 0.00000, 0.00000, 0.00000, 0.49923
8.622, 0.26743, 0.00000, 0.00000, 0.00000, 0.48962
8.633, 0.26329, 0.00000, 0.00000, 0.00000, 0.47978
8.644, 0.25893, 0.00000, 0.00000, 0.00000, 0.46972
8.656, 0.25447, 0.00000, 0.00000, 0.00000, 0.45945
8.667, 0.25003, 0.00000, 0.00000, 0.00000, 0.44896
8.678, 0.24558, 0.00000, 0.00000, 0.00000, 0.43822
8.689, 0.24114, 0.00000, 0.00000, 0.00000, 0.42728
8.700, 0.23669, 0.00000, 0.00000, 0.00000, 0.41627
8.711, 0.23225, 0.00000, 0.00000, 0.00000, 0.40524
8.722, 0.22780, 0.00000, 0.00000, 0.00000, 0.39423
8.733, 0.22336, 0.00000, 0.00000, 0.00000, 0.38322
8.744, 0.21892, 0.00000, 0.00000, 0.00000, 0.37220
8.756, 0.21447, 0.00000, 0.00000, 0.00000, 0.36119
8.767, 0.21003, 0.00000, 0.00000, 0.00000, 0.35017
8.778, 0.20558, 0.00000, 0.00000, 0.00000, 0.33916
8.789, 0.20114, 0.00000, 0.00000, 0.00000, 0.32814
8.800, 0.19669, 0.00000, 0.00000, 0.00000, 0.31713
8.811, 0.19225, 0.00000, 0.00000, 0.00000, 0.30611
8.822, 0.18780, 0.00000, 0.00000, 0.00000, 0.29511
8.833, 0.18336, 0.00000, 0.00000, 0.00000, 0.28408
8.844, 0.17892, 0.00000, 0.00000, 0.00000, 0.27305
8.856, 0.17447, 0.00000, 0.00000, 0.00000, 0.26219
8.867, 0.17003, 0.00000, 0.00000, 0.00000, 0.25154
8.878, 0.16558, 0.00000, 0.00000, 0.00000, 0.24112
8.889, 0.16114, 0.00000, 0.00000, 0.00000, 0.23091
8.900, 0.15669, 0.00000, 0.00000, 0.00000, 0.22093
8.911, 0.15225, 0.00000, 0.00000, 0.00000, 0.21117
8.922, 0.14780, 0.00000, 0.00000, 0.00000, 0.20163
8.933, 0.14336, 0.00000, 0.00000, 0.00000, 0.19230
8.944, 0.13892, 0.00000, 0.00000, 0.00000, 0.18320
8.956, 0.13447, 0.00000, 0.00000, 0.00000, 0.17432
8.967, 0.13003, 0.00000, 0.00000, 0.00000, 0.16566
8.978, 0.12558, 0.00000, 0.00000, 0.00000, 0.15722
8.989, 0.12114, 0.00000, 0.00000, 0.00000, 0.14901
9.000, 0.11669, 0.00000, 0.00000, 0.00000, 0.14101
9.011, 0.11225, 0.00000, 0.00000, 0.00000, 0.13323
9.022, 0.10780, 0.00000, 0.00000, 0.00000, 0.12567
